conn prev LSN,conn last LSN,page nr,nr in page,transaction num,this LSN,previous LSN,undo next LSN,data length,sequence nr,client index,record type,derived record type,transaction id,flag,is split?,redo operation,undo operation,deriv redo,deriv undo,redo offset,redo length,undo offset,undo length,target attribute,lcn to follow?,record offset,attribute offset,MFT cluster index,target VCN,target LCN,deriv inum,em_MFT seq value,em_USN usn,em_ATTR filename
,1080135
1075176,1075689,4,1,,1075208,1075176,1075176,120,0,0,1,transaction,24,4,False,8,0,Update Nonresident Value,No-Operation,40,80,120,0,584,1,640,0,0,0,428,0,,640,
1075176,1075689,4,2,,1075229,1075208,1075208,104,0,0,1,transaction,24,0,False,11,11,Set New Attribute Sizes,Set New Attribute Sizes,40,32,72,32,24,1,264,0,6,8,49,35,,,
1075176,1075689,4,3,,1075248,1075229,1075229,56,0,0,1,transaction,24,0,False,7,7,Update Resident Value,Update Resident Value,40,8,48,8,24,1,56,88,0,9,50,36,,,
1075176,1075689,4,4,,1075261,1075248,0,40,0,0,1,transaction,24,2,False,27,1,Forget Transaction,Compensation Log Record,40,0,40,0,24,0,0,0,0,0,2348570608,0,,,
1075176,1075689,4,5,,1075272,0,0,120,0,0,1,transaction,24,0,False,7,7,Update Resident Value,Update Resident Value,40,40,80,40,24,1,56,32,2,1,598,5,,,
1075176,1075689,4,6,,1075293,1075272,1075272,152,0,0,1,transaction,24,0,False,20,20,Update File Name Allocation,Update File Name Allocation,40,56,96,56,64,1,0,1176,0,0,44,0,,,
1075176,1075689,4,7,,1075318,1075293,0,40,0,0,1,transaction,24,2,False,27,1,Forget Transaction,Compensation Log Record,40,0,40,0,24,0,0,0,0,0,6,0,,,
1075176,1075689,4,8,,1075329,0,0,88,0,0,1,transaction,24,0,False,28,0,Open Non Resident Attribute,No-Operation,40,40,80,4,624,0,0,0,0,0,0,0,,,
1075176,1075689,4,9,,1075346,1075329,1075329,40,0,0,1,transaction,24,6,False,0,0,No-Operation,No-Operation,40,0,40,0,624,0,0,0,0,0,65536,0,,,
1075176,1075689,4,10,,1075357,1075346,1075346,128,0,0,1,transaction,24,4,False,12,13,Add Index Entry Root,Delete Index Entry Root,40,88,128,0,24,1,256,64,2,6,47,25,,,
1075176,1075689,4,11,,1075379,1075357,1075357,80,0,0,1,transaction,24,4,False,5,6,Create Attribute,Delete Attribute,40,40,80,0,24,1,224,0,2,1,598,5,,,
1075176,1075689,4,12,,1075395,1075379,1075379,104,0,0,1,transaction,24,0,False,11,11,Set New Attribute Sizes,Set New Attribute Sizes,40,32,72,32,24,1,264,0,6,8,49,35,,,
1075176,1075689,4,13,,1075414,1075395,1075395,104,0,0,1,transaction,24,4,False,8,0,Update Nonresident Value,No-Operation,40,64,104,0,584,1,720,0,0,0,428,0,,720,
1075176,1075689,4,14,,1075433,1075414,1075414,104,0,0,1,transaction,24,0,False,11,11,Set New Attribute Sizes,Set New Attribute Sizes,40,32,72,32,24,1,264,0,6,8,49,35,,,
1075176,1075689,4,15,,1075452,1075433,1075433,160,0,0,1,transaction,24,0,False,7,7,Update Resident Value,Update Resident Value,40,72,112,48,24,1,56,24,2,1,598,5,,,
1075176,1075689,4,16,,1075478,1075452,0,40,0,0,1,transaction,24,2,False,27,1,Forget Transaction,Compensation Log Record,40,0,40,0,24,0,0,0,0,0,3376,0,,,
1075176,1075689,4,17,,1075489,0,0,152,0,0,1,transaction,24,0,False,7,7,Update Resident Value,Update Resident Value,40,56,96,56,24,1,56,40,2,1,598,5,,,
1075176,1075689,4,18,,1075514,1075489,1075489,152,0,0,1,transaction,24,0,False,20,20,Update File Name Allocation,Update File Name Allocation,40,56,96,56,64,1,0,1176,0,0,44,0,,,
1075176,1075689,4,19,,1075539,1075514,0,40,0,0,1,transaction,24,2,False,27,1,Forget Transaction,Compensation Log Record,40,0,40,0,24,0,0,0,0,0,6,0,,,
1075176,1075689,4,20,,1075550,0,0,88,0,0,1,transaction,24,0,False,11,11,Set New Attribute Sizes,Set New Attribute Sizes,40,24,64,24,24,1,256,0,2,2,599,9,,,
1075176,1075689,4,21,,1075567,1075550,1075550,440,0,0,1,transaction,24,0,False,8,8,Update Nonresident Value,Update Nonresident Value,40,200,240,200,344,1,992,0,0,0,288,0,,,
1075176,1075689,4,22,,1075628,1075567,1075567,440,0,0,1,transaction,24,0,False,8,8,Update Nonresident Value,Update Nonresident Value,40,200,240,200,344,1,992,0,0,64,352,256,,,
1075176,1075689,4,23,,1075689,1075628,1075628,88,0,0,1,transaction,24,0,False,11,11,Set New Attribute Sizes,Set New Attribute Sizes,40,24,64,24,24,1,256,0,2,2,599,9,,,
1075689,1076206,5,0,,1075706,1075689,1075689,80,0,0,1,transaction,24,5,True,12,13,Add Index Entry Root,Delete Index Entry Root,40,40,80,0,24,1,424,384,2,2,599,9,,,
1075689,1076206,5,1,,1075730,1075706,1075706,88,0,0,1,transaction,24,4,False,14,15,Add Index Entry Allocation,Delete Index Entry Allocation,40,48,88,0,424,1,0,448,0,0,354,0,,,
1075689,1076206,5,2,,1075747,1075730,0,40,0,0,1,transaction,24,2,False,27,1,Forget Transaction,Compensation Log Record,40,0,40,0,24,0,0,0,0,0,0,0,,,
1075689,1076206,5,3,,1075758,0,0,48,0,0,1,transaction,24,0,False,21,22,Set Bits in Nonresident Bitmap,Clear Bits in Nonresident Bitmap,40,8,40,8,144,1,0,0,0,0,596,0,,,
1075689,1076206,5,4,,1075770,1075758,1075758,48,0,0,1,transaction,24,2,False,0,3,No-Operation,Deallocate File Record Segment,40,0,40,8,24,1,0,0,2,9,50,37,,,
1075689,1076206,5,5,,1075782,1075770,1075770,152,0,0,1,transaction,24,4,False,14,15,Add Index Entry Allocation,Delete Index Entry Allocation,40,112,152,0,64,1,0,888,0,0,44,0,,,
1075689,1076206,5,6,,1075807,1075782,1075782,400,0,0,1,transaction,24,4,False,2,0,Initialize File Record Segment,No-Operation,40,360,400,0,24,1,0,0,2,9,50,37,1,,
1075689,1076206,5,7,,1075863,1075807,1075807,104,0,0,1,transaction,24,0,False,11,11,Set New Attribute Sizes,Set New Attribute Sizes,40,32,72,32,24,1,264,0,6,8,49,35,,,
1075689,1076206,5,8,,1075882,1075863,1075863,128,0,0,1,transaction,24,4,False,8,0,Update Nonresident Value,No-Operation,40,88,128,0,584,1,784,0,0,0,428,0,,784,
1075689,1076206,5,9,,1075904,1075882,1075882,104,0,0,1,transaction,24,0,False,11,11,Set New Attribute Sizes,Set New Attribute Sizes,40,32,72,32,24,1,264,0,6,8,49,35,,,
1075689,1076206,5,10,,1075923,1075904,0,40,0,0,1,transaction,24,2,False,27,1,Forget Transaction,Compensation Log Record,40,0,40,0,24,0,0,0,0,0,2349723024,0,,,
1075689,1076206,5,11,,1075934,0,0,104,0,0,1,transaction,24,0,False,11,11,Set New Attribute Sizes,Set New Attribute Sizes,40,32,72,32,24,1,264,0,6,8,49,35,,,
1075689,1076206,5,12,,1075953,1075934,1075934,128,0,0,1,transaction,24,4,False,8,0,Update Nonresident Value,No-Operation,40,88,128,0,584,1,872,0,0,0,428,0,,872,
1075689,1076206,5,13,,1075975,1075953,1075953,104,0,0,1,transaction,24,0,False,11,11,Set New Attribute Sizes,Set New Attribute Sizes,40,32,72,32,24,1,264,0,6,8,49,35,,,
1075689,1076206,5,14,,1075994,1075975,1075975,56,0,0,1,transaction,24,0,False,7,7,Update Resident Value,Update Resident Value,40,8,48,8,24,1,56,88,2,9,50,37,,,
1075689,1076206,5,15,,1076007,1075994,0,40,0,0,1,transaction,24,2,False,27,1,Forget Transaction,Compensation Log Record,40,0,40,0,24,0,0,0,0,0,2349723024,0,,,
