mft lsn,correct,length,transaction num,page_origins,first_lsn,last_lsn,first_redo,first_undo,last_redo,last_undo,need previous,no forget+compensation,mft,mft attribute,usn,all_opcodes
1070850,True,2,143,"42-15, 42-16",1070850,1070874,Create Attribute,Delete Attribute,Forget Transaction,Compensation Log Record,,,[],"[(1070850, 'LoggedUtilityStream')]",[],"[(1070850, 'Create Attribute', 'Delete Attribute'), (1070874, 'Forget Transaction', 'Compensation Log Record')]"
1071112,True,3,5,"42-27, 43-1, 43-2",1071090,1071124,Set Bits in Nonresident Bitmap,Clear Bits in Nonresident Bitmap,Deallocate File Record Segment,Compensation Log Record,,,[],[],[],"[(1071090, 'Set Bits in Nonresident Bitmap', 'Clear Bits in Nonresident Bitmap'), (1071112, 'No-Operation', 'Deallocate File Record Segment'), (1071124, 'Deallocate File Record Segment', 'Compensation Log Record')]"
1074953,True,4,48,"50-14, 50-15, 50-16, 50-17",1074913,1074972,Set New Attribute Sizes,Set New Attribute Sizes,Forget Transaction,Compensation Log Record,,,[],[],"[(1074932, 480)]","[(1074913, 'Set New Attribute Sizes', 'Set New Attribute Sizes'), (1074932, 'Update Nonresident Value', 'No-Operation'), (1074953, 'Set New Attribute Sizes', 'Set New Attribute Sizes'), (1074972, 'Forget Transaction', 'Compensation Log Record')]"
1080074,True,3,58,"60-15, 60-16, 60-17",1080047,1080099,Update Resident Value,Update Resident Value,Forget Transaction,Compensation Log Record,,,[],[],[],"[(1080047, 'Update Resident Value', 'Update Resident Value'), (1080074, 'Update File Name Allocation', 'Update File Name Allocation'), (1080099, 'Forget Transaction', 'Compensation Log Record')]"
1082384,True,5,106,"64-16, 64-17, 65-0, 65-1, 65-2",1082317,1082397,Set New Attribute Sizes,Set New Attribute Sizes,Forget Transaction,Compensation Log Record,,,[],[],"[(1082336, 3776)]","[(1082317, 'Set New Attribute Sizes', 'Set New Attribute Sizes'), (1082336, 'Update Nonresident Value', 'No-Operation'), (1082357, 'Set New Attribute Sizes', 'Set New Attribute Sizes'), (1082384, 'Update Resident Value', 'Update Resident Value'), (1082397, 'Forget Transaction', 'Compensation Log Record')]"
1077265,True,5,4,"54-22, 54-23, 55-0, 55-1, 55-2",1077189,1077278,Set New Attribute Sizes,Set New Attribute Sizes,Forget Transaction,Compensation Log Record,,,[],[],"[(1077208, 1592)]","[(1077189, 'Set New Attribute Sizes', 'Set New Attribute Sizes'), (1077208, 'Update Nonresident Value', 'No-Operation'), (1077238, 'Set New Attribute Sizes', 'Set New Attribute Sizes'), (1077265, 'Update Resident Value', 'Update Resident Value'), (1077278, 'Forget Transaction', 'Compensation Log Record')]"
1075730,True,7,32,"51-20, 51-21, 51-22, 51-23, 52-0, 52-1, 52-2",1075550,1075747,Set New Attribute Sizes,Set New Attribute Sizes,Forget Transaction,Compensation Log Record,,,[],[],[],"[(1075550, 'Set New Attribute Sizes', 'Set New Attribute Sizes'), (1075567, 'Update Nonresident Value', 'Update Nonresident Value'), (1075628, 'Update Nonresident Value', 'Update Nonresident Value'), (1075689, 'Set New Attribute Sizes', 'Set New Attribute Sizes'), (1075706, 'Add Index Entry Root', 'Delete Index Entry Root'), (1075730, 'Add Index Entry Allocation', 'Delete Index Entry Allocation'), (1075747, 'Forget Transaction', 'Compensation Log Record')]"
1074222,True,13,55,"48-13, 48-14, 48-15, 48-16, 48-17, 48-18, 48-19, 48-20, 48-21, 49-1, 49-2, 49-3, 49-4",1073997,1074241,Set Bits in Nonresident Bitmap,Clear Bits in Nonresident Bitmap,Forget Transaction,Compensation Log Record,,,"[(1074056, 36, 1)]",[],"[(1074201, 0)]","[(1073997, 'Set Bits in Nonresident Bitmap', 'Clear Bits in Nonresident Bitmap'), (1074009, 'No-Operation', 'Deallocate File Record Segment'), (1074021, 'Set Bits in Nonresident Bitmap', 'Clear Bits in Nonresident Bitmap'), (1074033, 'Add Index Entry Allocation', 'Delete Index Entry Allocation'), (1074056, 'Initialize File Record Segment', 'No-Operation'), (1074109, 'Set Bits in Nonresident Bitmap', 'Clear Bits in Nonresident Bitmap'), (1074121, 'Set New Attribute Sizes', 'Set New Attribute Sizes'), (1074140, 'Update Mapping Pairs', 'Update Mapping Pairs'), (1074153, 'Set New Attribute Sizes', 'Set New Attribute Sizes'), (1074184, 'Open Non Resident Attribute', 'No-Operation'), (1074201, 'Update Nonresident Value', 'No-Operation'), (1074222, 'Set New Attribute Sizes', 'Set New Attribute Sizes'), (1074241, 'Forget Transaction', 'Compensation Log Record')]"
1079513,True,2,39,"59-12, 59-13",1079513,1079538,Update File Name Allocation,Update File Name Allocation,Forget Transaction,Compensation Log Record,,,[],[],[],"[(1079513, 'Update File Name Allocation', 'Update File Name Allocation'), (1079538, 'Forget Transaction', 'Compensation Log Record')]"
1077784,True,4,66,"55-23, 56-0, 56-1, 56-2",1077735,1077803,Set New Attribute Sizes,Set New Attribute Sizes,Forget Transaction,Compensation Log Record,,,[],[],"[(1077754, 1832)]","[(1077735, 'Set New Attribute Sizes', 'Set New Attribute Sizes'), (1077754, 'Update Nonresident Value', 'No-Operation'), (1077784, 'Set New Attribute Sizes', 'Set New Attribute Sizes'), (1077803, 'Forget Transaction', 'Compensation Log Record')]"
