record length,major version,minor version,usn,timestamp,reason,source info,security id,file attributes,file name length,file name offset,file name,file reference mft entry,file reference sequence number,parent file reference mft entry,parent file reference sequence number
80,2,0,0,2016-01-29 21:27:30.757846,FILE_CREATE,0,0,ARCHIVE,14,60,cat.jpg,36,1,5,5
80,2,0,80,2016-01-29 21:27:30.757846,FILE_CREATE|CLOSE,0,0,ARCHIVE,14,60,cat.jpg,36,1,5,5
80,2,0,160,2016-01-29 21:27:30.757846,DATA_EXTEND,0,0,ARCHIVE,14,60,cat.jpg,36,1,5,5
80,2,0,240,2016-01-29 21:27:30.757846,DATA_OVERWRITE|DATA_EXTEND,0,0,ARCHIVE,14,60,cat.jpg,36,1,5,5
80,2,0,320,2016-01-29 21:27:30.757846,DATA_OVERWRITE|DATA_EXTEND|STREAM_CHANGE,0,0,ARCHIVE,14,60,cat.jpg,36,1,5,5
80,2,0,400,2016-01-29 21:27:30.757846,DATA_OVERWRITE|DATA_EXTEND|NAMED_DATA_EXTEND|STREAM_CHANGE,0,0,ARCHIVE,14,60,cat.jpg,36,1,5,5
80,2,0,480,2016-01-29 21:27:30.757846,DATA_OVERWRITE|DATA_EXTEND|NAMED_DATA_OVERWRITE|NAMED_DATA_EXTEND|STREAM_CHANGE,0,0,ARCHIVE,14,60,cat.jpg,36,1,5,5
80,2,0,560,2016-01-29 21:27:30.757846,DATA_OVERWRITE|DATA_EXTEND|NAMED_DATA_OVERWRITE|NAMED_DATA_EXTEND|BASIC_INFO_CHANGE|STREAM_CHANGE,0,0,ARCHIVE,14,60,cat.jpg,36,1,5,5
80,2,0,640,2016-01-29 21:27:30.757846,DATA_OVERWRITE|DATA_EXTEND|NAMED_DATA_OVERWRITE|NAMED_DATA_EXTEND|BASIC_INFO_CHANGE|STREAM_CHANGE|CLOSE,0,0,ARCHIVE,14,60,cat.jpg,36,1,5,5
64,2,0,720,2016-01-29 21:27:30.769078,OBJECT_ID_CHANGE,0,0,HIDDEN|SYSTEM|DIRECTORY,2,60,.,5,5,5,5
88,2,0,784,2016-01-29 21:27:30.846998,FILE_CREATE,0,0,DIRECTORY,24,60,$RECYCLE.BIN,37,1,5,5
88,2,0,872,2016-01-29 21:27:30.846998,FILE_CREATE|CLOSE,0,0,DIRECTORY,24,60,$RECYCLE.BIN,37,1,5,5
88,2,0,960,2016-01-29 21:27:30.846998,BASIC_INFO_CHANGE,0,0,HIDDEN|SYSTEM|DIRECTORY,24,60,$RECYCLE.BIN,37,1,5,5
